estudiante_id,nombre,genero,programa_academico,edad,puntaje_saber11,promedio_acumulado,materias_reprobadas,departamento_origen,estrato_socioeconomico,tipo_colegio,ingreso_familiar,desertor
1911,Estudiante Real 911,FEMENINO,INGENIERIA INFORMATICA,28,298.9331291312342,2.8782214829081374,0,VALLE DEL CAUCA,1,NO OFICIAL,2886875.223202894,1
1912,Estudiante Real 912,FEMENINO,INGENIERIA INFORMATICA,29,374.7925293696929,3.290913418826368,1,VALLE DEL CAUCA,1,NO OFICIAL,1529016.5355053875,0
1913,Estudiante Real 913,MASCULINO,INGENIERÍA INDUSTRIAL,25,350.86007590674376,3.7350293104814893,0,VALLE DEL CAUCA,3,OFICIAL,1817269.0700715557,0
1914,Estudiante Real 914,FEMENINO,INGENIERÍA INDUSTRIAL,26,278.93854621834515,3.583724888456143,0,VALLE DEL CAUCA,2,OFICIAL,2519166.7764782757,0
1915,Estudiante Real 915,FEMENINO,INGENIERÍA INDUSTRIAL,22,317.82689230541223,4.39177445488847,0,VALLE DEL CAUCA,4,OFICIAL,2362860.0838649906,0
1916,Estudiante Real 916,MASCULINO,INGENIERÍA INDUSTRIAL,23,344.4482822426413,3.9709438751904074,0,VALLE DEL CAUCA,2,OFICIAL,2404668.4378900607,0
1917,Estudiante Real 917,MASCULINO,INGENIERÍA INDUSTRIAL,24,305.55946151472955,3.607160199017831,0,VALLE DEL CAUCA,2,OFICIAL,3190416.747840628,0
1918,Estudiante Real 918,MASCULINO,INGENIERÍA INDUSTRIAL,28,341.45624847983265,3.320226857355266,0,VALLE DEL CAUCA,2,NO OFICIAL,3201562.279763388,0
1919,Estudiante Real 919,FEMENINO,INGENIERÍA INDUSTRIAL,26,274.1255287499728,3.5993315023989703,0,VALLE DEL CAUCA,2,OFICIAL,3324218.8031898453,0
1920,Estudiante Real 920,FEMENINO,INGENIERÍA INDUSTRIAL,27,242.73085858684664,3.4522488552334583,0,VALLE DEL CAUCA,2,NO OFICIAL,3294117.4590843376,0
1921,Estudiante Real 921,FEMENINO,INGENIERÍA INDUSTRIAL,19,288.1369475101417,3.3039070190180935,0,VALLE DEL CAUCA,2,NO OFICIAL,4258491.9548228895,0
1922,Estudiante Real 922,FEMENINO,INGENIERÍA INDUSTRIAL,29,337.7569293276503,3.958294669879826,0,VALLE DEL CAUCA,4,OFICIAL,1907910.789688992,0
1923,Estudiante Real 923,FEMENINO,INGENIERÍA INDUSTRIAL,26,299.33159960463547,3.99825748039642,2,VALLE DEL CAUCA,1,OFICIAL,2996133.664923762,1
1924,Estudiante Real 924,FEMENINO,INGENIERÍA INDUSTRIAL,22,304.0421082040112,3.8543289021399207,0,VALLE DEL CAUCA,2,NO OFICIAL,1955220.1420945367,0
1925,Estudiante Real 925,MASCULINO,INGENIERÍA INDUSTRIAL,23,329.66675328038764,4.369872778707222,0,VALLE DEL CAUCA,4,NO OFICIAL,1836886.1386459118,0
1926,Estudiante Real 926,MASCULINO,INGENIERÍA INDUSTRIAL,23,312.7348626387064,2.726766637210483,0,VALLE DEL CAUCA,2,OFICIAL,2226572.283441847,0
1927,Estudiante Real 927,MASCULINO,INGENIERÍA INDUSTRIAL,29,299.3202883929685,3.4000500049453417,3,VALLE DEL CAUCA,4,NO OFICIAL,1454832.2296826497,0
1928,Estudiante Real 928,MASCULINO,INGENIERÍA INDUSTRIAL,17,286.36687556370094,3.5625103704612244,0,VALLE DEL CAUCA,2,NO OFICIAL,2635329.836264341,0
1929,Estudiante Real 929,FEMENINO,INGENIERÍA INDUSTRIAL,26,278.2483006376465,4.407997031281614,1,VALLE DEL CAUCA,2,OFICIAL,3026028.7917067823,0
1930,Estudiante Real 930,FEMENINO,INGENIERÍA INDUSTRIAL,17,324.47047968415404,3.759904855119959,1,VALLE DEL CAUCA,4,NO OFICIAL,745211.1494632583,0
1931,Estudiante Real 931,FEMENINO,INGENIERÍA INDUSTRIAL,26,285.1460414718001,3.3830632685104054,0,VALLE DEL CAUCA,1,NO OFICIAL,3922155.097808195,0
1932,Estudiante Real 932,FEMENINO,INGENIERÍA INDUSTRIAL,29,356.68656069897514,3.1871522865496713,0,VALLE DEL CAUCA,1,NO OFICIAL,-8280.776228251963,0
1933,Estudiante Real 933,MASCULINO,INGENIERÍA INDUSTRIAL,26,300.7765440590555,3.6508755253858194,0,VALLE DEL CAUCA,2,NO OFICIAL,2533409.0123927128,0
1934,Estudiante Real 934,MASCULINO,INGENIERÍA INDUSTRIAL,21,318.51279387532213,3.433027201847319,0,VALLE DEL CAUCA,2,NO OFICIAL,3503336.86620339,0
1935,Estudiante Real 935,MASCULINO,INGENIERÍA INDUSTRIAL,17,314.41285452446755,2.6131722453016932,1,VALLE DEL CAUCA,1,OFICIAL,2880635.001693885,1
1936,Estudiante Real 936,FEMENINO,INGENIERÍA INDUSTRIAL,26,219.2200854201036,3.49534169168925,0,VALLE DEL CAUCA,1,NO OFICIAL,1313638.1639808547,0
1937,Estudiante Real 937,MASCULINO,INGENIERÍA INDUSTRIAL,28,251.94413190748364,3.538619106631056,1,VALLE DEL CAUCA,2,OFICIAL,1984051.7538658236,0
1938,Estudiante Real 938,FEMENINO,INGENIERÍA INDUSTRIAL,26,233.80256890328457,3.7287665765644924,0,VALLE DEL CAUCA,1,OFICIAL,2278120.0695960997,0
1939,Estudiante Real 939,FEMENINO,INGENIERÍA INDUSTRIAL,17,323.8248847443727,4.0028202708535074,0,VALLE DEL CAUCA,2,NO OFICIAL,1807159.0298517027,0
1940,Estudiante Real 940,MASCULINO,INGENIERÍA INDUSTRIAL,19,287.0081432958207,3.291683220072273,1,VALLE DEL CAUCA,2,NO OFICIAL,865811.6479770017,0
1941,Estudiante Real 941,MASCULINO,INGENIERÍA INDUSTRIAL,21,319.192926196173,3.614717828784054,1,VALLE DEL CAUCA,2,OFICIAL,1041785.6529110259,0
1942,Estudiante Real 942,FEMENINO,INGENIERÍA INDUSTRIAL,19,244.97823865751758,2.3467142147316418,1,VALLE DEL CAUCA,2,OFICIAL,1239110.364433962,1
1943,Estudiante Real 943,FEMENINO,INGENIERÍA INDUSTRIAL,22,331.21476243636766,3.1021760910734097,0,VALLE DEL CAUCA,2,OFICIAL,2971607.1096072686,0
1944,Estudiante Real 944,MASCULINO,INGENIERÍA INDUSTRIAL,18,217.83152256224133,3.4194953883737154,0,VALLE DEL CAUCA,2,OFICIAL,2517257.7252339832,0
1945,Estudiante Real 945,FEMENINO,INGENIERÍA INDUSTRIAL,28,284.2169268131329,3.2721562371168638,0,VALLE DEL CAUCA,1,NO OFICIAL,490600.67580466194,0
1946,Estudiante Real 946,MASCULINO,INGENIERÍA INDUSTRIAL,20,342.8848802327576,3.0419836184952604,1,VALLE DEL CAUCA,3,OFICIAL,4034202.035856275,0
1947,Estudiante Real 947,MASCULINO,INGENIERÍA INDUSTRIAL,17,333.93592030481676,4.251172361697828,0,VALLE DEL CAUCA,1,NO OFICIAL,1311039.673962376,0
1948,Estudiante Real 948,MASCULINO,INGENIERÍA INDUSTRIAL,28,341.11386682043315,3.897252184330062,0,VALLE DEL CAUCA,1,OFICIAL,2872625.760871953,0
1949,Estudiante Real 949,FEMENINO,INGENIERÍA INDUSTRIAL,21,380.828226029352,3.8029016917678757,0,VALLE DEL CAUCA,2,OFICIAL,4821474.786478488,0
1950,Estudiante Real 950,MASCULINO,INGENIERÍA INDUSTRIAL,23,250.25960886987426,2.5380262086496677,0,VALLE DEL CAUCA,3,OFICIAL,2993604.803259595,0
1951,Estudiante Real 951,MASCULINO,LICENCIATURA EN EDUCACION BASICA PRIMARIA CON ENFASIS EN INGLES Y EN FRANCES,29,326.38954531076365,3.4977694908469426,0,VALLE DEL CAUCA,2,NO OFICIAL,2036452.252902374,0
1952,Estudiante Real 952,FEMENINO,LICENCIATURA EN EDUCACION BASICA PRIMARIA CON ENFASIS EN INGLES Y EN FRANCES,28,273.9611992629498,2.3690101470550418,0,VALLE DEL CAUCA,1,OFICIAL,1224453.4720929337,1
1953,Estudiante Real 953,FEMENINO,LICENCIATURA EN EDUCACION BASICA PRIMARIA CON ENFASIS EN INGLES Y EN FRANCES,21,337.90362942495665,4.24202812327047,1,VALLE DEL CAUCA,3,OFICIAL,1923672.1998532224,0
1954,Estudiante Real 954,MASCULINO,LICENCIATURA EN EDUCACION BASICA PRIMARIA CON ENFASIS EN INGLES Y EN FRANCES,20,323.39577767009166,3.1520020734151073,0,VALLE DEL CAUCA,1,OFICIAL,2669454.9688057317,0
1955,Estudiante Real 955,FEMENINO,LICENCIATURA EN EDUCACION BASICA PRIMARIA CON ENFASIS EN INGLES Y EN FRANCES,21,334.66981808062445,3.385477026066877,1,VALLE DEL CAUCA,2,OFICIAL,2669408.856195705,0
1956,Estudiante Real 956,MASCULINO,LICENCIATURA EN EDUCACION BASICA PRIMARIA CON ENFASIS EN INGLES Y EN FRANCES,29,254.36423474964914,3.3588292123936316,0,VALLE DEL CAUCA,2,NO OFICIAL,1742553.3977986684,0
1957,Estudiante Real 957,FEMENINO,LICENCIATURA EN EDUCACION RELIGIOSA,17,314.41493919731505,4.150331972460806,0,VALLE DEL CAUCA,2,OFICIAL,1819186.967854281,0
1958,Estudiante Real 958,MASCULINO,LICENCIATURA EN EDUCACION RELIGIOSA,29,259.6857427151733,3.062000662107604,0,VALLE DEL CAUCA,2,OFICIAL,4291576.369778548,0
1959,Estudiante Real 959,FEMENINO,LICENCIATURA EN EDUCACION RELIGIOSA,25,308.584396873047,3.5240163088419805,0,VALLE DEL CAUCA,1,NO OFICIAL,3260143.8186712703,0
1960,Estudiante Real 960,MASCULINO,LICENCIATURA EN EDUCACION RELIGIOSA,23,271.12651242381247,4.020083492544963,3,VALLE DEL CAUCA,4,OFICIAL,547700.7116378567,0
1961,Estudiante Real 961,FEMENINO,LICENCIATURA EN EDUCACION RELIGIOSA,28,268.3933477911484,3.9229452101379465,0,VALLE DEL CAUCA,3,OFICIAL,1100955.2484451274,0
1962,Estudiante Real 962,MASCULINO,LICENCIATURA EN EDUCACION RELIGIOSA,21,284.29994466556997,3.941864556110287,1,VALLE DEL CAUCA,3,OFICIAL,2453706.7194918133,0
1963,Estudiante Real 963,FEMENINO,LICENCIATURA EN EDUCACION RELIGIOSA,20,274.10980290007535,4.409112980350914,1,VALLE DEL CAUCA,3,NO OFICIAL,2521015.0082059107,0
1964,Estudiante Real 964,MASCULINO,LICENCIATURA EN EDUCACION RELIGIOSA,24,271.6947261008099,4.073383283953291,1,VALLE DEL CAUCA,1,OFICIAL,1907924.698393457,0
1965,Estudiante Real 965,MASCULINO,LICENCIATURA EN EDUCACION RELIGIOSA,17,293.84978531283895,3.846441985925935,1,VALLE DEL CAUCA,2,OFICIAL,3033603.204837349,0
1966,Estudiante Real 966,MASCULINO,LICENCIATURA EN EDUCACION RELIGIOSA,25,323.010661057529,3.824336232596075,0,VALLE DEL CAUCA,3,OFICIAL,2903065.1467411015,0
1967,Estudiante Real 967,MASCULINO,LICENCIATURA EN EDUCACION RELIGIOSA,23,288.8925922233216,3.5384317823238662,0,VALLE DEL CAUCA,2,OFICIAL,2802580.2679783413,0
1968,Estudiante Real 968,MASCULINO,LICENCIATURA EN EDUCACION RELIGIOSA,29,329.0110748488586,4.580371976699057,0,VALLE DEL CAUCA,2,NO OFICIAL,3051124.098380238,0
1969,Estudiante Real 969,FEMENINO,LICENCIATURA EN EDUCACI¿N INFANTIL,23,358.9542367417037,3.6012511501585616,2,VALLE DEL CAUCA,3,NO OFICIAL,4009066.74864441,0
1970,Estudiante Real 970,FEMENINO,LICENCIATURA EN EDUCACI¿N INFANTIL,19,315.40916844706726,3.849524417741487,1,VALLE DEL CAUCA,2,NO OFICIAL,3853309.637178531,0
1971,Estudiante Real 971,FEMENINO,LICENCIATURA EN EDUCACI¿N INFANTIL,27,334.9234939155638,4.1067228799418825,0,VALLE DEL CAUCA,1,OFICIAL,3412368.1179019036,0
1972,Estudiante Real 972,MASCULINO,LICENCIATURA EN EDUCACI¿N INFANTIL,17,214.14899771897348,3.489767878052862,0,VALLE DEL CAUCA,3,OFICIAL,2698604.81848723,0
1973,Estudiante Real 973,FEMENINO,LICENCIATURA EN EDUCACI¿N INFANTIL,17,340.14942548713793,3.1008466123544727,0,VALLE DEL CAUCA,4,NO OFICIAL,2718793.0174517217,0
1974,Estudiante Real 974,MASCULINO,LICENCIATURA EN EDUCACIÓN BÁSICA PRIMARIA CON ÉNFASIS EN INGLÉS Y EN FRANCÉS,25,327.4292928887207,3.878893620201549,2,VALLE DEL CAUCA,1,NO OFICIAL,1985849.6892888113,0
1975,Estudiante Real 975,MASCULINO,LICENCIATURA EN EDUCACIÓN BÁSICA PRIMARIA CON ÉNFASIS EN INGLÉS Y EN FRANCÉS,20,343.4861794532554,3.363413538932333,2,VALLE DEL CAUCA,2,NO OFICIAL,2345871.565151676,1
1976,Estudiante Real 976,MASCULINO,LICENCIATURA EN EDUCACIÓN BÁSICA PRIMARIA CON ÉNFASIS EN INGLÉS Y EN FRANCÉS,19,315.51583103499627,4.578304981292858,0,VALLE DEL CAUCA,3,OFICIAL,1274356.2849861614,0
1977,Estudiante Real 977,MASCULINO,LICENCIATURA EN EDUCACIÓN BÁSICA PRIMARIA CON ÉNFASIS EN INGLÉS Y EN FRANCÉS,20,301.0247594805235,3.6171858805151302,2,VALLE DEL CAUCA,4,NO OFICIAL,1622456.4684006677,0
1978,Estudiante Real 978,MASCULINO,LICENCIATURA EN EDUCACIÓN BÁSICA PRIMARIA CON ÉNFASIS EN INGLÉS Y EN FRANCÉS,29,231.3777643409398,3.3064423646899264,0,VALLE DEL CAUCA,1,OFICIAL,2904947.24959313,0
1979,Estudiante Real 979,FEMENINO,LICENCIATURA EN EDUCACIÓN BÁSICA PRIMARIA CON ÉNFASIS EN INGLÉS Y EN FRANCÉS,20,361.483684151619,4.5900515271864695,1,VALLE DEL CAUCA,3,OFICIAL,2024051.376025337,0
1980,Estudiante Real 980,MASCULINO,LICENCIATURA EN EDUCACIÓN BÁSICA PRIMARIA CON ÉNFASIS EN INGLÉS Y EN FRANCÉS,24,342.80929593223937,4.008653101869164,1,VALLE DEL CAUCA,2,OFICIAL,2663554.4299986428,0
1981,Estudiante Real 981,MASCULINO,LICENCIATURA EN EDUCACIÓN BÁSICA PRIMARIA CON ÉNFASIS EN INGLÉS Y EN FRANCÉS,21,338.6865811077521,3.074204303359405,1,VALLE DEL CAUCA,3,NO OFICIAL,1047577.4206390093,0
1982,Estudiante Real 982,FEMENINO,LICENCIATURA EN EDUCACIÓN BÁSICA PRIMARIA CON ÉNFASIS EN INGLÉS Y EN FRANCÉS,21,357.3568193540549,3.25403433883068,0,VALLE DEL CAUCA,3,OFICIAL,2208576.0020024315,0
1983,Estudiante Real 983,FEMENINO,LICENCIATURA EN EDUCACIÓN BÁSICA PRIMARIA CON ÉNFASIS EN INGLÉS Y EN FRANCÉS,17,323.2351728569403,4.760501998030902,0,VALLE DEL CAUCA,1,OFICIAL,2803478.041667984,0
1984,Estudiante Real 984,FEMENINO,LICENCIATURA EN EDUCACIÓN BÁSICA PRIMARIA CON ÉNFASIS EN INGLÉS Y EN FRANCÉS,27,326.2688079860846,3.0435339625384756,1,VALLE DEL CAUCA,3,OFICIAL,2776451.345122423,0
1985,Estudiante Real 985,MASCULINO,LICENCIATURA EN EDUCACIÓN BÁSICA PRIMARIA CON ÉNFASIS EN INGLÉS Y EN FRANCÉS,17,249.65776127148575,3.1827856332411764,1,VALLE DEL CAUCA,1,OFICIAL,3936942.943019303,0
1986,Estudiante Real 986,MASCULINO,LICENCIATURA EN EDUCACIÓN BÁSICA PRIMARIA CON ÉNFASIS EN INGLÉS Y EN FRANCÉS,21,312.54005858685827,3.35479276962579,1,VALLE DEL CAUCA,2,NO OFICIAL,2425258.4534950987,0
1987,Estudiante Real 987,MASCULINO,LICENCIATURA EN EDUCACIÓN BÁSICA PRIMARIA CON ÉNFASIS EN INGLÉS Y EN FRANCÉS,25,373.1635782428483,3.552444176149617,0,VALLE DEL CAUCA,2,NO OFICIAL,1866962.3809462385,0
1988,Estudiante Real 988,MASCULINO,LICENCIATURA EN EDUCACIÓN BÁSICA PRIMARIA CON ÉNFASIS EN INGLÉS Y EN FRANCÉS,21,327.6279520611298,3.1989076650985577,0,VALLE DEL CAUCA,2,OFICIAL,2945360.7240778757,0
1989,Estudiante Real 989,FEMENINO,LICENCIATURA EN EDUCACIÓN BÁSICA PRIMARIA CON ÉNFASIS EN INGLÉS Y EN FRANCÉS,22,313.7409398575444,3.973086819039522,0,VALLE DEL CAUCA,2,OFICIAL,2316773.0999945984,0
1990,Estudiante Real 990,MASCULINO,LICENCIATURA EN EDUCACIÓN BÁSICA PRIMARIA CON ÉNFASIS EN INGLÉS Y EN FRANCÉS,19,375.8547358429999,4.870809923359396,0,VALLE DEL CAUCA,1,NO OFICIAL,3036975.872693239,0
1991,Estudiante Real 991,MASCULINO,LICENCIATURA EN EDUCACIÓN BÁSICA PRIMARIA CON ÉNFASIS EN INGLÉS Y EN FRANCÉS,21,295.8408602671569,4.484888566312682,0,VALLE DEL CAUCA,1,NO OFICIAL,2328218.7285932945,0
1992,Estudiante Real 992,MASCULINO,LICENCIATURA EN EDUCACIÓN BÁSICA PRIMARIA CON ÉNFASIS EN INGLÉS Y EN FRANCÉS,24,274.185825053632,4.131426846516608,0,VALLE DEL CAUCA,2,OFICIAL,3516855.6596198985,0
1993,Estudiante Real 993,MASCULINO,LICENCIATURA EN EDUCACIÓN INFANTIL,28,300.94333074618953,4.954230792359896,0,VALLE DEL CAUCA,4,NO OFICIAL,3007870.914472197,0
1994,Estudiante Real 994,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,18,328.4904985781682,2.9837119726922587,0,VALLE DEL CAUCA,2,NO OFICIAL,3672644.0719776168,1
1995,Estudiante Real 995,MASCULINO,LICENCIATURA EN EDUCACIÓN INFANTIL,25,315.6943697174344,2.930487390962813,0,VALLE DEL CAUCA,3,OFICIAL,3429258.942599657,0
1996,Estudiante Real 996,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,21,353.5961983636332,3.314408012957907,1,VALLE DEL CAUCA,2,NO OFICIAL,3103612.7582943058,0
1997,Estudiante Real 997,MASCULINO,LICENCIATURA EN EDUCACIÓN INFANTIL,24,254.7333749242521,3.2139363915838883,1,VALLE DEL CAUCA,2,OFICIAL,612951.3459693963,0
1998,Estudiante Real 998,MASCULINO,LICENCIATURA EN EDUCACIÓN INFANTIL,29,295.4780054524568,2.883525458191456,0,VALLE DEL CAUCA,3,OFICIAL,1215162.2719176265,1
1999,Estudiante Real 999,MASCULINO,LICENCIATURA EN EDUCACIÓN INFANTIL,24,332.73923087225086,4.584578606029574,0,VALLE DEL CAUCA,2,OFICIAL,1667340.9766494436,0
2000,Estudiante Real 1000,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,28,292.4167889775104,3.9206395097052877,0,VALLE DEL CAUCA,1,OFICIAL,1810749.0764330365,0
2001,Estudiante Real 1001,MASCULINO,LICENCIATURA EN EDUCACIÓN INFANTIL,24,405.2578155070445,4.165207753933253,0,VALLE DEL CAUCA,2,OFICIAL,406258.2929315801,0
2002,Estudiante Real 1002,MASCULINO,LICENCIATURA EN EDUCACIÓN INFANTIL,18,257.4145041683198,2.713710717319273,1,VALLE DEL CAUCA,3,OFICIAL,1939897.5501735033,0
2003,Estudiante Real 1003,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,25,257.9662810550801,3.1075610753469878,1,VALLE DEL CAUCA,2,OFICIAL,1950714.1427239943,0
2004,Estudiante Real 1004,MASCULINO,LICENCIATURA EN EDUCACIÓN INFANTIL,19,373.6560147105122,4.038357093193058,0,VALLE DEL CAUCA,3,NO OFICIAL,2986490.159968391,0
2005,Estudiante Real 1005,MASCULINO,LICENCIATURA EN EDUCACIÓN INFANTIL,18,273.96646293187854,4.0479181461769835,0,VALLE DEL CAUCA,3,NO OFICIAL,2671485.5520272297,0
2006,Estudiante Real 1006,MASCULINO,LICENCIATURA EN EDUCACIÓN INFANTIL,29,349.25535969100133,3.9347080955934426,0,VALLE DEL CAUCA,2,NO OFICIAL,286883.83565531205,0
2007,Estudiante Real 1007,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,25,368.9748028798403,3.486421957933029,0,VALLE DEL CAUCA,1,NO OFICIAL,3157408.9269617735,0
2008,Estudiante Real 1008,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,25,287.90954991549563,3.051428175185593,0,VALLE DEL CAUCA,1,NO OFICIAL,2927451.3537727175,0
2009,Estudiante Real 1009,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,19,342.2896955109412,4.083853294336845,0,VALLE DEL CAUCA,2,NO OFICIAL,2488958.35638692,0
2010,Estudiante Real 1010,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,25,396.38957042643995,2.669257774722256,1,VALLE DEL CAUCA,3,NO OFICIAL,2759565.992867294,0
2011,Estudiante Real 1011,MASCULINO,LICENCIATURA EN EDUCACIÓN INFANTIL,17,304.154492178689,4.310791428336337,0,VALLE DEL CAUCA,2,NO OFICIAL,2216825.066287811,0
2012,Estudiante Real 1012,MASCULINO,LICENCIATURA EN EDUCACIÓN INFANTIL,29,308.07213090210445,3.7152911537644457,0,VALLE DEL CAUCA,2,OFICIAL,1475231.541754526,0
2013,Estudiante Real 1013,MASCULINO,LICENCIATURA EN EDUCACIÓN INFANTIL,28,274.9855855566081,3.5560662720352076,0,VALLE DEL CAUCA,3,NO OFICIAL,1989911.1858928392,0
2014,Estudiante Real 1014,MASCULINO,LICENCIATURA EN EDUCACIÓN INFANTIL,27,358.1171691712816,4.03777895971824,0,VALLE DEL CAUCA,2,OFICIAL,2991654.206093526,0
2015,Estudiante Real 1015,MASCULINO,LICENCIATURA EN EDUCACIÓN INFANTIL,29,265.2493534874461,3.4917384012319133,0,VALLE DEL CAUCA,3,NO OFICIAL,1260758.4593179934,0
2016,Estudiante Real 1016,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,20,264.2313961535669,3.0337243293668528,0,VALLE DEL CAUCA,1,OFICIAL,1595093.2360718255,0
2017,Estudiante Real 1017,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,20,329.9115323767111,3.852605512042845,0,VALLE DEL CAUCA,1,OFICIAL,3606370.405016494,0
2018,Estudiante Real 1018,MASCULINO,LICENCIATURA EN EDUCACIÓN INFANTIL,29,237.86385063090958,4.1465614879409785,0,VALLE DEL CAUCA,2,NO OFICIAL,1033934.1240622046,0
2019,Estudiante Real 1019,MASCULINO,LICENCIATURA EN EDUCACIÓN INFANTIL,17,333.7371555539415,2.9863985506708537,0,VALLE DEL CAUCA,1,OFICIAL,3500645.242266052,1
2020,Estudiante Real 1020,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,22,312.93346979112545,4.084384947840677,0,VALLE DEL CAUCA,3,NO OFICIAL,2996832.944809139,0
2021,Estudiante Real 1021,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,29,279.0190156241031,3.922038537229225,0,VALLE DEL CAUCA,1,OFICIAL,2353891.1114814267,0
2022,Estudiante Real 1022,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,19,311.45888706616836,4.055513654499964,0,VALLE DEL CAUCA,4,OFICIAL,2663756.1277310643,0
2023,Estudiante Real 1023,MASCULINO,LICENCIATURA EN EDUCACIÓN INFANTIL,27,358.94531750252264,2.6711896853298422,0,VALLE DEL CAUCA,2,OFICIAL,1684645.803471635,1
2024,Estudiante Real 1024,MASCULINO,LICENCIATURA EN EDUCACIÓN INFANTIL,29,330.2223141286003,3.8181178524005275,0,VALLE DEL CAUCA,1,NO OFICIAL,3340123.581772529,0
2025,Estudiante Real 1025,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,18,392.731554033675,2.9107704468938884,0,VALLE DEL CAUCA,3,OFICIAL,2930344.180551766,0
2026,Estudiante Real 1026,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,18,285.3453828327064,3.7427779447701988,1,VALLE DEL CAUCA,2,NO OFICIAL,1790873.591516756,0
2027,Estudiante Real 1027,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,20,316.4205947332901,3.436244589959728,0,VALLE DEL CAUCA,2,NO OFICIAL,3310397.383857452,0
2028,Estudiante Real 1028,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,22,277.2918339205571,4.702093083943112,1,VALLE DEL CAUCA,3,NO OFICIAL,1045550.3409562085,0
2029,Estudiante Real 1029,MASCULINO,LICENCIATURA EN EDUCACIÓN INFANTIL,18,400.33065973156886,3.341576558413086,0,VALLE DEL CAUCA,3,NO OFICIAL,2819032.946588533,0
2030,Estudiante Real 1030,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,18,359.69490251711414,3.342574367139448,2,VALLE DEL CAUCA,1,NO OFICIAL,2339028.686953126,1
2031,Estudiante Real 1031,MASCULINO,LICENCIATURA EN EDUCACIÓN INFANTIL,17,308.1950843870379,3.383978092877613,0,VALLE DEL CAUCA,3,OFICIAL,4007590.322192307,0
2032,Estudiante Real 1032,MASCULINO,LICENCIATURA EN EDUCACIÓN INFANTIL,24,289.8588821858435,4.471398616904837,0,VALLE DEL CAUCA,3,OFICIAL,3173365.9524856145,0
2033,Estudiante Real 1033,MASCULINO,LICENCIATURA EN EDUCACIÓN INFANTIL,19,334.95583772306304,3.0152596853984917,0,VALLE DEL CAUCA,2,OFICIAL,1479029.891530104,0
2034,Estudiante Real 1034,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,20,230.32450938914397,2.958333834688844,1,VALLE DEL CAUCA,1,OFICIAL,1600336.3456410011,1
2035,Estudiante Real 1035,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,23,231.43871368116362,2.609017757130643,1,VALLE DEL CAUCA,3,NO OFICIAL,700818.7980423019,1
2036,Estudiante Real 1036,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,18,319.88131480893355,4.465671594547904,2,VALLE DEL CAUCA,3,NO OFICIAL,2514450.822290657,0
2037,Estudiante Real 1037,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,19,282.89630280886195,3.5141631730376086,0,VALLE DEL CAUCA,4,OFICIAL,3298484.876051819,0
2038,Estudiante Real 1038,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,29,302.99869846826095,3.998604559798636,1,VALLE DEL CAUCA,1,NO OFICIAL,933103.2870734062,0
2039,Estudiante Real 1039,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,20,327.5467185023304,4.021256948227502,0,VALLE DEL CAUCA,2,OFICIAL,2954958.7661419646,0
2040,Estudiante Real 1040,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,17,227.30740453105426,3.4943511914807877,1,VALLE DEL CAUCA,3,NO OFICIAL,366435.78601291013,0
2041,Estudiante Real 1041,MASCULINO,LICENCIATURA EN EDUCACIÓN INFANTIL,21,320.41886996283523,3.765056895235472,0,VALLE DEL CAUCA,1,OFICIAL,1385989.3307084446,0
2042,Estudiante Real 1042,MASCULINO,LICENCIATURA EN EDUCACIÓN INFANTIL,26,417.3862535622394,4.003584757896611,0,VALLE DEL CAUCA,2,NO OFICIAL,1762262.6775956755,0
2043,Estudiante Real 1043,FEMENINO,LICENCIATURA EN EDUCACIÓN INFANTIL,29,317.2795953049119,3.622409098550084,0,VALLE DEL CAUCA,1,NO OFICIAL,2733273.6027835933,0
